item_name,date,buy_price,buy_price_limit,buy_quantity,commission_charge,order_status,time_created,time_finished
FET,Mar 23 2026,$0.2034,$0.2034,7.6 FET $1.55,unknown,unknown,unknown,unknown
FET,Mar 23 2026,$0.2062,$0.2062,7.5 FET $1.55,unknown,unknown,unknown,unknown
FET,Mar 23 2026,$0.2142,$0.2142,9 FET $1.93,unknown,unknown,unknown,unknown
FET,Mar 23 2026,$0.2131,$0.2137,9 FET $1.92,unknown,unknown,unknown,unknown
SUI,Mar 23 2026,$0.9513,$0.9513,34685 SUI $32995.84,unknown,unknown,unknown,unknown
SOL,Mar 23 2026,$86.38,$86.38,0.013 SOL $1.12,unknown,unknown,unknown,unknown
SOL,Mar 23 2026,$86.77,$86.77,0.013 SOL $1.13,unknown,unknown,unknown,unknown
SOL,Mar 23 2026,$87.03,$87.03,0.013 SOL $1.13,unknown,unknown,unknown,unknown
SOL,Mar 23 2026,$86.29,$86.29,0.015 SOL $1.29,unknown,unknown,unknown,unknown
SOL,Mar 23 2026,$86.71,$86.71,0.015 SOL $1.30,unknown,unknown,unknown,unknown
SOL,Mar 23 2026,$86.98,$86.98,0.015 SOL $1.30,unknown,unknown,unknown,unknown
FET,Mar 23 2026,$0.2042,$0.2042,41 FET $8.37,unknown,unknown,unknown,unknown
FET,Mar 23 2026,$0.2068,$0.2068,40 FET $8.27,unknown,unknown,unknown,unknown
SOL,Mar 23 2026,$90.15,$90.15,0.444 SOL $40.03,unknown,unknown,unknown,unknown
SOL,Mar 23 2026,$89.33,$89.33,0.444 SOL $39.66,unknown,unknown,unknown,unknown
SOL,Mar 23 2026,$88.5,$88.5,0.444 SOL $39.29,unknown,unknown,unknown,unknown
SUI,Mar 23 2026,$0.9511,$0.9511,65038 SUI $61857.64,unknown,unknown,unknown,unknown
SUI,Mar 23 2026,$0.9351,$0.9351,65038 SUI $60817.03,unknown,unknown,unknown,unknown
FET,Mar 24 2026,$0.2273,$0.2273,489770 FET $111324.72,unknown,unknown,unknown,unknown
FET,Mar 23 2026,$0.222,$0.222,489770 FET $108728.94,unknown,unknown,unknown,unknown
SUI,Mar 23 2026,$0.9431,$0.9431,65038 SUI $61337.34,unknown,unknown,unknown,unknown
FET,Mar 23 2026,$0.2167,$0.2167,489770 FET $106133.16,unknown,unknown,unknown,unknown
SOL,Mar 23 2026,$90.15,$90.15,191 SOL $17218.65,unknown,unknown,unknown,unknown
SOL,Mar 23 2026,$89.33,$89.33,191 SOL $17062.03,unknown,unknown,unknown,unknown
SOL,Mar 23 2026,$88.5,$88.5,191 SOL $16903.50,unknown,unknown,unknown,unknown
SUI,Mar 23 2026,$0.9114,$0.9114,5152 SUI $4695.53,unknown,unknown,unknown,unknown
SUI,Mar 23 2026,$0.9165,$0.9165,5124 SUI $4696.15,unknown,unknown,unknown,unknown
SUI,Mar 23 2026,$0.9198,$0.9198,5105 SUI $4695.58,unknown,unknown,unknown,unknown
SUI,Mar 23 2026,$0.9117,$0.9117,29853 SUI $27216.98,unknown,unknown,unknown,unknown
SUI,Mar 23 2026,$0.9167,$0.9167,29689 SUI $27215.91,unknown,unknown,unknown,unknown
SOL,Mar 23 2026,$86.27,$86.27,434 SOL $37441.18,unknown,unknown,unknown,unknown
SOL,Mar 23 2026,$86.69,$86.69,432 SOL $37450.08,unknown,unknown,unknown,unknown
SOL,Mar 23 2026,$86.97,$86.97,430 SOL $37397.10,unknown,unknown,unknown,unknown
FET,Mar 22 2026,$0.2091,$0.2091,100895 FET $21097.14,unknown,unknown,unknown,unknown
SUI,Mar 23 2026,$0.9201,$0.9201,29580 SUI $27216.56,unknown,unknown,unknown,unknown
FET,Mar 22 2026,$0.2161,$0.2161,97619 FET $21095.47,unknown,unknown,unknown,unknown
SUI,Mar 23 2026,$0.9055,$0.9055,33266 SUI $30122.36,unknown,unknown,unknown,unknown
SUI,Mar 23 2026,$0.9135,$0.9135,32973 SUI $30120.84,unknown,unknown,unknown,unknown
SUI,Mar 22 2026,$0.9189,$0.9189,32781 SUI $30122.46,unknown,unknown,unknown,unknown
FET,Mar 22 2026,$0.2133,$0.2133,98904 FET $21096.22,unknown,unknown,unknown,unknown
SOL,Mar 23 2026,$85.54,$85.54,352 SOL $30110.08,unknown,unknown,unknown,unknown
SOL,Mar 23 2026,$86.23,$86.23,349 SOL $30094.27,unknown,unknown,unknown,unknown
SOL,Mar 23 2026,$86.68,$86.68,347 SOL $30077.96,unknown,unknown,unknown,unknown
FET,Mar 22 2026,$0.2076,$0.2076,156956 FET $32584.07,unknown,unknown,unknown,unknown
FET,Mar 22 2026,$0.2116,$0.2116,153987 FET $32583.65,unknown,unknown,unknown,unknown
FET,Mar 22 2026,$0.2143,$0.2143,152069 FET $32588.39,unknown,unknown,unknown,unknown
SUI,Mar 22 2026,$0.9185,$0.9185,54435 SUI $49998.55,unknown,unknown,unknown,unknown
SUI,Mar 22 2026,$0.9247,$0.9247,54070 SUI $49998.53,unknown,unknown,unknown,unknown
SUI,Mar 22 2026,$0.9288,$0.9288,53830 SUI $49997.30,unknown,unknown,unknown,unknown
FET,Mar 22 2026,$0.2078,$0.2078,240603 FET $49997.30,unknown,unknown,unknown,unknown
FET,Mar 22 2026,$0.2122,$0.2122,235627 FET $50000.05,unknown,unknown,unknown,unknown
FET,Mar 22 2026,$0.2151,$0.2151,232425 FET $49994.62,unknown,unknown,unknown,unknown
SOL,Mar 23 2026,$86.17,$86.17,580 SOL $49978.60,unknown,unknown,unknown,unknown
SOL,Mar 23 2026,$86.68,$86.68,576 SOL $49927.68,unknown,unknown,unknown,unknown
SOL,Mar 22 2026,$87.03,$87.03,574 SOL $49955.22,unknown,unknown,unknown,unknown
DOGE,Mar 23 2026,$0.0895,$0.0895,21 DOGE $1.88,unknown,unknown,unknown,unknown
DOGE,Mar 23 2026,$0.0903,$0.0903,21 DOGE $1.90,unknown,unknown,unknown,unknown
DOGE,Mar 22 2026,$0.0924,$0.0924,36 DOGE $3.33,unknown,unknown,unknown,unknown
DOGE,Mar 22 2026,$0.093,$0.093,35 DOGE $3.25,unknown,unknown,unknown,unknown
DOGE,Mar 22 2026,$0.0934,$0.0934,35 DOGE $3.27,unknown,unknown,unknown,unknown
FET,Mar 92 2026,$0.2111,$0.2111,15 FET $3.17,unknown,unknown,unknown,unknown
FET,Mar 22 2026,$0.2111,$0.2111,15 FET $3.17,unknown,unknown,unknown,unknown
FET,Mar 22 2026,$0.216,$0.216,15 FET $3.24,unknown,unknown,unknown,unknown
FET,Mar 22 2026,$0.2192,$0.2192,15 FET $3.29,unknown,unknown,unknown,unknown
DOGE,Mar 22 2026,$0.0926,$0.0926,36 DOGE $3.33,unknown,unknown,unknown,unknown
DOGE,Mar 22 2026,$0.0932,$0.0932,35 DOGE $3.26,unknown,unknown,unknown,unknown
FET,Mar 22 2026,$0.2092,$0.2092,15 FET $3.14,unknown,unknown,unknown,unknown
FET,Mar 22 2026,$0.2151,$0.2151,15 FET $3.23,unknown,unknown,unknown,unknown
FET,Mar 22 2026,$0.2191,$0.2191,15 FET $3.29,unknown,unknown,unknown,unknown
DOGE,Mar 22 2026,$0.0937,$0.0937,35 DOGE $3.28,unknown,unknown,unknown,unknown
DOGE,Mar 22 2026,$0.0931,$0.0931,35 DOGE $3.26,unknown,unknown,unknown,unknown
DOGE,Mar 22 2026,$0.0935,$0.0935,35 DOGE $3.27,unknown,unknown,unknown,unknown
FET,Mar 22 2026,$0.2252,$0.2252,8 FET $1.80,unknown,unknown,unknown,unknown
FET,Mar 22 2026,$0.2242,$0.2248,8 FET $1.79,unknown,unknown,unknown,unknown
FET,Mar 22 2026,$0.2259,$0.2259,8 FET $1.81,unknown,unknown,unknown,unknown
FET,Mar 22 2026,$0.2248,$0.2255,8 FET $1.80,unknown,unknown,unknown,unknown
SOL,Mar 22 2026,$88.13,$88.13,0.037 SOL $3.26,unknown,unknown,unknown,unknown
SOL,Mar 22 2026,$88.77,$88.77,0.037 SOL $3.28,unknown,unknown,unknown,unknown
SOL,Mar 22 2026,$89.19,$89.19,0.037 SOL $3.30,unknown,unknown,unknown,unknown
FET,Mar 22 2026,$0.2084,$0.2084,15 FET $3.13,unknown,unknown,unknown,unknown
FET,Mar 22 2026,$0.2157,$0.2157,15 FET $3.24,unknown,unknown,unknown,unknown
FET,Mar 22 2026,$0.2206,$0.2206,15 FET $3.31,unknown,unknown,unknown,unknown
SOL,Mar 22 2026,$88.06,$88.06,0.037 SOL $3.26,unknown,unknown,unknown,unknown
SOL,Mar 22 2026,$88.7,$88.7,0.037 SOL $3.28,unknown,unknown,unknown,unknown
SOL,Mar 22 2026,$89.12,$89.12,0.037 SOL $3.30,unknown,unknown,unknown,unknown
FET,Mar 22 2026,$0.2165,$0.2165,15 FET $3.25,unknown,unknown,unknown,unknown
FET,Mar 22 2026,$0.2214,$0.2214,15 FET $3.32,unknown,unknown,unknown,unknown
SOL,Mar 22 2026,$88.15,$88.15,0.037 SOL $3.26,unknown,unknown,unknown,unknown
SOL,Mar 22 2026,$89.18,$89.18,0.037 SOL $3.30,unknown,unknown,unknown,unknown
FET,Mar 22 2026,$0.2071,$0.2071,16 FET $3.31,unknown,unknown,unknown,unknown
FET,Mar 22 2026,$0.2143,$0.2143,15 FET $3.21,unknown,unknown,unknown,unknown
FET,Mar 22 2026,$0.219,$0.219,15 FET $3.29,unknown,unknown,unknown,unknown
